return-average,return-min,return-max,return-std,episode-length-avg,episode-length-min,episode-length-max,episode-length-std,AverageProgress,MaxProgress,MinProgress,StdProgress,AverageTimeInGoal,MaxTimeInGoal,MinTimeInGoal,StdTimeInGoal,MeanBeginGoalDistance,StdBeginGoalDistance,MinBeginGoalDistance,MaxBeginGoalDistance,MeanFinalGoalDistance,StdFinalGoalDistance,MinFinalGoalDistance,MaxFinalGoalDistance,MeanProgressTowardsGoal,StdProgressTowardsGoal,MinProgressTowardsGoal,MaxProgressTowardsGoal,qf1-avg,qf1-std,qf2-avg,qf2-std,mean-qf-diff,vf-avg,vf-std,mean-sq-bellman-error1,mean-sq-bellman-error2,time-train,time-eval,time-sample,time-total,epoch,pool-size,max-path-return,last-path-return,episodes,total-samples
-3073.2105567954604,-3073.2105567954604,-3073.2105567954604,0.0,1000.0,1000,1000,0.0,3.8453840977453084,3.8453840977453084,3.8453840977453084,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,8.163655330398612,0.0,8.163655330398612,8.163655330398612,3.836344669601388,0.0,3.836344669601388,3.836344669601388,-882.585,182.00021,-882.585,182.00021,2.6693945,-882.1575,181.68144,8.377413,7.3977327,14.883833801330184,16.662564899990684,13.658299279923085,1010.0839484327298,22,23000,[-1456.95486928],[-2305.46106976],23,23000
-1985.0426450134237,-1985.0426450134237,-1985.0426450134237,0.0,1000.0,1000,1000,0.0,11.855021428052607,11.855021428052607,11.855021428052607,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,7.9675683029434285,0.0,7.9675683029434285,7.9675683029434285,0.517713071295141,0.0,0.517713071295141,0.517713071295141,-900.3164,187.91092,-900.3164,187.91092,2.7753057,-902.2526,187.71892,7.7845597,7.637919,14.976422829960939,16.886677507995046,13.863591760818963,1055.6050095104874,23,24000,[-1456.95486928],[-1980.5669103],24,24000
-1817.6938901018775,-1817.6938901018775,-1817.6938901018775,0.0,1000.0,1000,1000,0.0,5.202789669153592,5.202789669153592,5.202789669153592,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,5.335775337127324,0.0,5.335775337127324,5.335775337127324,3.1495060371112453,0.0,3.1495060371112453,3.1495060371112453,-897.3111,197.1824,-897.3111,197.1824,2.6838796,-900.68445,197.17773,7.4512334,8.232836,14.95178905085777,16.68107345700264,13.833040027981042,1101.0701561613387,24,25000,[-1456.95486928],[-2055.27297074],25,25000
-2050.67350981106,-2050.67350981106,-2050.67350981106,0.0,980.0,980,980,0.0,11.620903269644987,11.620903269644987,11.620903269644987,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,1.0051545608814458,0.0,1.0051545608814458,1.0051545608814458,10.994845439118555,0.0,10.994845439118555,10.994845439118555,-927.9494,192.45654,-927.9494,192.45654,2.762533,-929.4654,191.71858,7.72921,7.235592,14.989280056834104,16.682434173999354,14.243433685100172,1146.6635927922762,25,26000,[-1456.95486928],[-1963.47651958],26,26000
-1713.4260607031529,-1713.4260607031529,-1713.4260607031529,0.0,1000.0,1000,1000,0.0,11.381948547849795,11.381948547849795,11.381948547849795,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,8.6982214650727,0.0,8.6982214650727,8.6982214650727,-0.212940090834131,0.0,-0.212940090834131,-0.212940090834131,-940.07355,201.0762,-940.07355,201.0762,3.045716,-941.9845,201.24489,8.367639,8.84423,14.982060271155206,16.36020681199443,13.896279721215251,1192.2950451606448,26,27000,[-1456.95486928],[-2571.98617596],27,27000
-1678.5955601283727,-1678.5955601283727,-1678.5955601283727,0.0,1000.0,1000,1000,0.0,5.905108759246493,5.905108759246493,5.905108759246493,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,5.617805535083393,0.0,5.617805535083393,5.617805535083393,2.8674758391551762,0.0,2.8674758391551762,2.8674758391551762,-923.23083,192.89128,-923.23083,192.89128,2.9407454,-925.13696,192.54517,9.621145,8.5954895,14.86470985613414,16.759087725993595,14.13957639214641,1238.0579931499233,27,28000,[-1456.95486928],[-1601.61175119],28,28000
-1852.575103581637,-1852.575103581637,-1852.575103581637,0.0,1000.0,1000,1000,0.0,7.9311609624298605,7.9311609624298605,7.9311609624298605,0.0,0.0,0,0,0.0,12.0,0.0,12.0,12.0,7.163462520464294,0.0,7.163462520464294,7.163462520464294,4.836537479535706,0.0,4.836537479535706,4.836537479535706,-988.59357,205.73444,-988.59357,205.73444,2.8086424,-990.2859,205.99495,10.442281,7.871252,15.061110243346775,16.75466380099533,14.15332338893495,1283.9405052241927,28,29000,[-1456.95486928],[-3231.89493436],29,29000
-1153.1326282370205,-1153.1326282370205,-1153.1326282370205,0.0,1000.0,1000,1000,0.0,7.01816546482203,7.01816546482203,7.01816546482203,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,2.8518055558954383,0.0,2.8518055558954383,2.8518055558954383,5.633475818343131,0.0,5.633475818343131,5.633475818343131,-996.49976,225.67496,-996.49976,225.67496,3.02491,-997.9154,225.47774,12.028777,10.477263,15.017843145906227,16.668639411000186,13.869425048891571,1329.5693203699775,29,30000,[-1456.95486928],[-1910.67153532],30,30000
-1823.4920689915764,-1823.4920689915764,-1823.4920689915764,0.0,1000.0,1000,1000,0.0,3.8211854287827305,3.8211854287827305,3.8211854287827305,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,5.831915888907307,0.0,5.831915888907307,5.831915888907307,2.6533654853312623,0.0,2.6533654853312623,2.6533654853312623,-1018.14636,232.30809,-1018.14636,232.30809,2.7571511,-1018.91833,232.14076,10.687871,11.1580925,15.14432591489458,16.744288104004227,14.099922241090098,1375.4981144699996,30,31000,[-1456.95486928],[-1977.33642026],31,31000
-1733.2675387777604,-1733.2675387777604,-1733.2675387777604,0.0,1000.0,1000,1000,0.0,8.200707449239435,8.200707449239435,8.200707449239435,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,5.3877367338488,0.0,5.3877367338488,5.3877367338488,3.0975446403897697,0.0,3.0975446403897697,3.0975446403897697,-1012.1482,219.9869,-1012.1482,219.9869,2.8854702,-1010.9911,218.98392,10.751936,11.009525,14.795368760067504,16.684425813000416,13.699485475197434,1420.6632749552664,31,32000,[-1456.95486928],[-2796.00707433],32,32000
-2024.6700059484065,-2024.6700059484065,-2024.6700059484065,0.0,1000.0,1000,1000,0.0,2.1951603405187297,2.1951603405187297,2.1951603405187297,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,6.430862032265768,0.0,6.430862032265768,6.430862032265768,2.0544193419728014,0.0,2.0544193419728014,2.0544193419728014,-1033.461,240.9094,-1033.461,240.9094,3.254527,-1034.2881,240.79741,15.451039,12.274653,14.941411200925359,16.675102862005588,13.791339274030179,1466.0798969382158,32,33000,[-1456.95486928],[-1574.98577055],33,33000
-1853.2687169114492,-1853.2687169114492,-1853.2687169114492,0.0,1000.0,1000,1000,0.0,7.050002515915344,7.050002515915344,7.050002515915344,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,4.489339551411055,0.0,4.489339551411055,4.489339551411055,3.9959418228275148,0.0,3.9959418228275148,3.9959418228275148,-1038.2725,236.44586,-1038.2725,236.44586,2.8753529,-1034.8765,236.71404,10.570716,12.181484,14.912246362218866,16.68189957899449,13.735104994222638,1511.3945807116543,33,34000,[-1456.95486928],[-1624.10308127],34,34000
-1916.046173841371,-1916.046173841371,-1916.046173841371,0.0,1000.0,1000,1000,0.0,2.26244460699945,2.26244460699945,2.26244460699945,0.0,0.0,0,0,0.0,8.48528137423857,0.0,8.48528137423857,8.48528137423857,6.6832926833911195,0.0,6.6832926833911195,6.6832926833911195,1.80198869084745,0.0,1.80198869084745,1.80198869084745,-1024.9705,239.97394,-1024.9705,239.97394,3.4685225,-1025.3969,238.6628,15.790373,17.90631,14.986924993048888,16.669773533008993,13.634058475247002,1556.6910551429755,34,35000,[-1456.95486928],[-1691.53183833],35,35000
